name,lat,long,alt,heading
Colombia_Antioquia_Rionegro_Alcaravanes SV 1,6.2015842,-75.3438527,2091.0,0.9916848298485471
Colombia_Antioquia_Rionegro_Alcaravanes SV 2,6.2015886,-75.3436891,2091.0,-0.8867217003804576
Colombia_Antioquia_Rionegro_Alcaravanes SV 3,6.2016509,-75.3439088211697,2091.0,1.768556540456936
Colombia_Antioquia_Rionegro_Alcaravanes ppal spot amarillo,6.201591,-75.343454,2091.0,0.9751242919220539
Colombia_Antioquia_Rionegro 2_Club Campestre,6.119558,-75.410295,2116.2,2.8317671203229806
Colombia_Caldas_Palestina_Loros pista ppal,4.986328,-75.628826,1565.0,-1.6123932477518694
Colombia_Caldas_Palestina_Loros pista auxiliar,4.986459,-75.628845,1565.0,0.4588103463732339
Colombia_Cundinamarca_Tenjo_Pista Vuelo Libre,4.8462941,-74.1597729,2565.4,-0.7182307157906958
Colombia_Risaralda_La Marta_Gaviotas pista principal,4.815204,-75.889499,992.0,0.39845109993032274
Colombia_Valle del Cauca_Cali_Halcones,3.34633,-76.492916,943.0,1.7185211037896932
Colombia_Valle del Cauca_Buga_Buga pista principal,3.918664,-76.320434,943.0,1.9166869433022602
Czech Republic_Central Bohemia_Mělník_RC Klub Mělník,50.387016,14.498061,247.0,0.4867150585316044
Czech Republic_Holešov_2018 WC_EW,49.3166015530464,17.5835786853149,226.0,-0.6674368730456547
Denmark_Sealand_Nivå_NFK,55.937307,12.47061,1.7,1.0003987743786298
Ecuador_Guayas_Duran_La Herradura,-2.146867,-79.787912,0.0,1.2899316088770714
Ecuador_Pichincha_Quito_Itulcachi,-0.2848322,-78.3462165,2717.0,-1.9443077620728966
Ecuador_Pichincha_Quito_CAQ - Jerusalen,-0.0101909,-78.352909,2251.0,-0.1818008318870871
España_Barcelona_liçà d'Amunt_A.Club Vall de Tenes,41.627371,2.25114,170.0,-1.932265467472294
España_Barcelona_Sant Cugat_ARC,41.501349,2.062275,218.0,-1.5881351109580242
España_Barcelona_Sant Cugat_ARC2,41.501343,2.06176,218.0,1.5478781051430421
España_Basque Country_Usurbil_Txokoalde,43.2723001,-2.0667778,6.0,1.5708044541158868
España_Cadiz_Jerez De La Frontera_El Muro,36.646545,-6.158887,5.0,-2.180154573860753
España_Extremadura_Caceres_ACANormal,39.329471,-6.349545,402.0,0.3380956236367737
España_Galicia_Lugo_Club Diablos Morning,43.185018,-7.714898,423.0,-1.3989945558476076
España_Galicia_Lugo_Club Diablos afterno,43.185342,-7.715046,423.0,1.7510261123312894
España_La Rioja_Sto Domingo Calzada_StoDomingo_1,42.453662,-2.90912,617.0,-1.4610489994439209
España_La Rioja_Sto Domingo Calzada_StoDomingo_2,42.453704,-2.909114,617.0,0.14895405503274192
España_La Rioja_Sto Domingo Calzada_StoDomingo_3,42.452912,-2.909275,617.0,0.4218421637879157
España_La Rioja_Sto Domingo Calzada_StoDomingo_4,42.453672,-2.909243,617.0,1.6805436367628308
España_Madrid_Boadilla_RCBoadilla,40.383079,-3.860313,684.0,-0.6657392302199633
España_Madrid_Madrid_Libelula 1,40.424658,-3.305124,811.0,2.1720625791786334
España_Madrid_Madrid_Libelula 2,40.424245,-3.305248,811.0,-0.9631384823382134
España_Madrid_Madrid_Libelula 3,40.424338,-3.305419,811.0,2.193435476543367
España_Madrid_Madrid_Libelula 4,40.424929,-3.304953,811.0,0.5847382585962274
España_Madrid_Pinto_CiervaNormal,40.221617,-3.734622,622.0,0.4751442111738427
España_Segovia_Segovia_Halcones,40.923392,-4.173364,943.0,-0.9895313317426836
España_Valencia_Cheste_Club RC Valencia Este,39.497762,-0.626555,101.0,1.9931953388813213
España_Valencia_Cheste_Club RC Valencia Norte,39.497762,-0.626555,101.0,0.9331851027581829
España_Valencia_Cheste_Club RC Valencia Pis,39.497664,-0.626494,101.0,2.5213626670199774
España_Zamora_Coreses_RC Zamora,41.545487,-5.659372,693.0,-2.1806561654000127
España_Zamora_Coreses_RC Zamora 2,41.546003,-5.658792,101.0,1.7660398737588345
Finland_Kokkola_Kälviän lennokkikenttä_1,63.85929,23.40137,15.0,2.166376304020043
Finland_Vasuntie_Hämeenkyrö_1,61.69000938379752,23.07721249924138,141.0,-0.30538692051605204
France_Bouches-du-Rhône_Aix-en-Provence_CAREB 06-24,43.533622,5.18515,31.0,-0.5111315537459188
France_Bouches-du-Rhône_Aix-en-Provence_MACAP 14-32,43.4478535,5.3008908,213.0,-2.315860452699642
France_Bouches-du-Rhône_Aix-en-Provence_MACAP 05-23,43.447681,5.301172,213.0,2.396083523785883
France_Bouches-du-Rhône_Saint-Cannat_MMC 13-31,43.628347,5.280649,174.0,0.7607653505880212
France_Hauts de France_Senlis-le-sec_Main Field,50.0330948,2.5620139,120.0,2.3071758854618785
France_Hauts de France_Valenciennes_Main Field,50.3277951,3.4714064,48.0,-0.3248111312406552
France_Ile de France_Boissy-sous-Saint-Yon_MCB,48.5447444,2.2233861,95.0,1.86414679202389
France_Ile de France_Grisy_Grisy,48.6964601,2.662897,98.78,-0.3957476917254641
France_Loire_St-Chamond_SCAMC-Planeze,45.4912917,4.5346968,392.3,0.19464878729254062
